,parentTaxid,taxid,CDS,CDS_Mean,exon,exon_Mean,gene,gene_Mean,mRNA,mRNA_Mean
1,10239,35238, 11, 979.0909090909091,0,0, 11, 1011.3636363636364,0,0
2,10239,1675553, 89, 548.6629213483146,0,0, 88, 554.8863636363636,0,0
3,10239,999288, 6, 558.0,0,0, 6, 559.0,0,0
4,10239,101764, 6, 1400.5,0,0, 6, 1400.5,0,0
7,10239,439015, 2, 4012.5,0,0, 2, 4012.5,0,0
8,10239,439014, 3, 1235.0,0,0, 3, 1235.0,0,0
9,10239,439016, 2, 3718.5,0,0, 2, 3718.5,0,0
10,10239,1685744, 2, 763.5,0,0, 2, 763.5,0,0
11,10239,1685745, 2, 811.5,0,0, 2, 811.5,0,0
12,10239,1685746, 3, 669.0,0,0, 2, 1081.0,0,0
13,10239,1685747, 2, 679.5,0,0, 2, 679.5,0,0
14,10239,1685740, 2, 1074.0,0,0, 2, 1074.0,0,0
15,10239,1685741, 2, 799.5,0,0, 2, 799.5,0,0
16,10239,1081054, 7, 963.0,0,0, 7, 963.0,0,0
17,10239,1081055, 7, 1151.5714285714287,0,0, 7, 1151.5714285714287,0,0
18,10239,435488, 1, 351.0,0,0, 1, 351.0,0,0
19,10239,1498212, 201, 673.223880597015, 19, 75.63157894736842, 220, 621.6136363636364,0,0
20,10239,1685749, 2, 735.0,0,0, 2, 735.0,0,0
21,10239,1923148, 1, 8763.0,0,0, 1, 8763.0,0,0
22,10239,1923147, 2, 4605.0,0,0, 2, 4605.0,0,0
23,10239,1923146, 1, 8538.0,0,0, 1, 8538.0,0,0
24,10239,1923145, 1, 8715.0,0,0, 1, 8715.0,0,0
25,10239,1923144, 1, 8226.0,0,0, 1, 8226.0,0,0
26,10239,1923143, 1, 9171.0,0,0, 1, 9171.0,0,0
27,10239,1923142, 2, 3817.5,0,0, 2, 3817.5,0,0
28,10239,1923141, 1, 8715.0,0,0, 1, 8715.0,0,0
29,10239,1923140, 1, 8571.0,0,0, 1, 8571.0,0,0
30,10239,1590370, 11, 2846.181818181818,0,0, 10, 3130.7,0,0
31,10239,1679933, 12, 660.25,0,0, 8, 1080.875,0,0
32,10239,1384461, 8, 4989.75,0,0, 7, 5702.428571428572,0,0
33,10239,1214459, 6, 1297.5,0,0, 6, 1297.5,0,0
